Name,City,State
MANIPAL INSTITUTE OF TECHNOLOGY,Manipal,Karnataka
ATME College of Engineering,Mysore,Karnataka
Vidya Vikas Institute of Engineering & Technology,Mysore,Karnataka
"G S S S Institute of Engineering & Technology for Women, MYSORE",Mysuru,Karnataka
JSS Science and Technology University,Mysuru,Karnataka
"Maharaja Institute of Technology, Thandavapura",Mysuru,Karnataka
The National Institute of Engineering,Mysuru,Karnataka
"Vidyavardhaka College of Engineering, MYSORE",Mysuru,Karnataka
Hirasugar Instiute of Technology,Nidasoshi,Karnataka
NMAM Institute of Technology,"Nitte, Udupi",Karnataka
Coorg Institute of Technology,Ponnampet,Karnataka
"Vivekananda College of Engg. & Tech., PUTTUR",Puttur,Karnataka
HKE`s SLN College of Engineering,Raichur,Karnataka
"Govt. Engineering College, RAMANAGARA",RAMANAGARA,Karnataka
J. N. N. College of Engineering,Shimoga,Karnataka
"PES Institute of Technology & Management, SHIVAMOGA",Shimoga,Karnataka
"Veerappa Nisty Engineering College, HASNAPUR",Shorapur,Karnataka
"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka
"Kalpataru Institute of Technology, TIPTUR",Tumkur,Karnataka
Siddaganga Institute of Technology,Tumkur,Karnataka
